Disease,Model,Accuracy,Precision,Recall,F1,ROC-AUC
Heart,Logistic Regression,0.8689,0.8125,0.9286,0.8667,0.9513
Heart,Random Forest,0.8852,0.8182,0.9643,0.8852,0.9513
Heart,MLP,0.8197,0.7297,0.9643,0.8308,0.9394
